date,cases_sevendayaveraged
01/03/2020,4.714286
02/03/2020,5.285714
03/03/2020,7.285714
04/03/2020,12.857142
05/03/2020,20.714285
06/03/2020,28.428572
07/03/2020,34.285713
08/03/2020,44.42857
09/03/2020,53.57143
10/03/2020,58.57143
11/03/2020,73.85714
12/03/2020,103.42857
13/03/2020,153
14/03/2020,215.14285
15/03/2020,271.57144
16/03/2020,312.14285
17/03/2020,367.2857
18/03/2020,432.14285
19/03/2020,506.14285
20/03/2020,589.1429
21/03/2020,668.5714
22/03/2020,779.2857
23/03/2020,898
24/03/2020,1029.4286
25/03/2020,1270.4286
26/03/2020,1494.7142
27/03/2020,1735
28/03/2020,2020.5714
29/03/2020,2292.2856
30/03/2020,2519.5715
31/03/2020,2727.7144
01/04/2020,3000
02/04/2020,3301.4285
03/04/2020,3619.2856
04/04/2020,3874.2856
05/04/2020,4116.857
06/04/2020,4288.5713
07/04/2020,4394
08/04/2020,4548
09/04/2020,4692.857
10/04/2020,4729.2856
11/04/2020,4736.5713
12/04/2020,4661.4287
13/04/2020,4605.5713
14/04/2020,4598.5713
15/04/2020,4445.7144
16/04/2020,4282.5713
17/04/2020,4271.7144
18/04/2020,4331.2856
19/04/2020,4424.143
20/04/2020,4589.7144
21/04/2020,4643.143
22/04/2020,4677.143
23/04/2020,4743
24/04/2020,4806.857
25/04/2020,4788.857
26/04/2020,4786.5713
27/04/2020,4645.5713
28/04/2020,4587.7144
29/04/2020,4630.2856
30/04/2020,4619.2856
01/05/2020,4607.2856
02/05/2020,4578
03/05/2020,4550.143
04/05/2020,4478.857
05/05/2020,4411.143
06/05/2020,4219.5713
07/05/2020,4072
08/05/2020,3843.2856
09/05/2020,3675.5715
10/05/2020,3432.4285
11/05/2020,3277
12/05/2020,3182
13/05/2020,3212.5715
14/05/2020,3173.1428
15/05/2020,3101.4285
16/05/2020,2936.1428
17/05/2020,2859.8572
18/05/2020,2847.2856
19/05/2020,2775.8572
20/05/2020,2628.5715
21/05/2020,2579
22/05/2020,2491.7144
23/05/2020,2482.7144
24/05/2020,2415.1428
25/05/2020,2336.5715
26/05/2020,2270.2856
27/05/2020,2133.7144
28/05/2020,1991.8572
29/05/2020,1864.1428
30/05/2020,1748.4286
31/05/2020,1673.2858
01/06/2020,1616.1428
02/06/2020,1574.2858
03/06/2020,1547.7142
04/06/2020,1465.1428
05/06/2020,1400
06/06/2020,1327.4286
07/06/2020,1269.1428
08/06/2020,1222.2858
09/06/2020,1171.1428
10/06/2020,1122.5714
11/06/2020,1075.8572
12/06/2020,1051.1428
13/06/2020,1017.4286
14/06/2020,1007.4286
15/06/2020,1019.1429
16/06/2020,1034
17/06/2020,1026.2858
18/06/2020,1017.4286
19/06/2020,991.8571
20/06/2020,993.1429
21/06/2020,984.5714
22/06/2020,955.5714
23/06/2020,928.4286
24/06/2020,907.5714
25/06/2020,876.1429
26/06/2020,841.8571
27/06/2020,799.5714
28/06/2020,752.8571
29/06/2020,748.5714
30/06/2020,721.8571
01/07/2020,696.8571
02/07/2020,659.7143
03/07/2020,641.8571
04/07/2020,624.7143
05/07/2020,610.7143
06/07/2020,574.4286
07/07/2020,590
08/07/2020,588.5714
09/07/2020,586.5714
10/07/2020,595.2857
11/07/2020,611.8571
12/07/2020,611.8571
13/07/2020,620.2857
14/07/2020,592.8571
15/07/2020,596.5714
16/07/2020,610.2857
17/07/2020,619.4286
18/07/2020,618
19/07/2020,620
20/07/2020,626.7143
21/07/2020,638.4286
22/07/2020,651.2857
23/07/2020,663.1429
24/07/2020,668.7143
25/07/2020,682.4286
26/07/2020,709.8571
27/07/2020,713.4286
28/07/2020,729.8571
29/07/2020,735.4286
30/07/2020,745.1429
31/07/2020,780.2857
01/08/2020,800
02/08/2020,789.1429
03/08/2020,793.2857
04/08/2020,793.4286
05/08/2020,820.7143
06/08/2020,850.7143
07/08/2020,854.8571
08/08/2020,877.5714
09/08/2020,916.8571
10/08/2020,938.4286
11/08/2020,947.4286
12/08/2020,1010.1429
13/08/2020,1054.7142
14/08/2020,1076.2858
15/08/2020,1083.5714
16/08/2020,1113.8572
17/08/2020,1114.4286
18/08/2020,1110.8572
19/08/2020,1082.1428
20/08/2020,1044.7142
21/08/2020,1050.4286
22/08/2020,1099.2858
